Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
corner-mnmx(d=-1),500,8681.7,34445.5,500,500,500,500,500,500,497,486,399,149,4,0,0,0,19099924,34608,940823,1779.5
corner-mnmx(d=0),500,753.877,2992.82,500,500,500,500,500,500,496,482,371,113,1,0,0,0,17089244,32558,856936,1675
corner-mnmx(d=1),200000,19.761,79.044,200000,200000,200000,199997,199649,195099,154698,43664,860,0,0,0,0,0,1633760484,7664,109242454,530
corner-mnmx(d=2),10000,34.781,139.1,10000,10000,10000,10000,10000,9969,9660,8036,3276,115,0,0,0,0,184599100,16204,10288640,958
corner-mnmx(d=3),2000,174.718,698.409,2000,2000,2000,2000,2000,1997,1978,1854,1278,196,0,0,0,0,55407636,27478,2881279,1438
corner-mnmx(d=4),500,763.94,3043.03,500,500,500,500,500,500,500,485,348,68,0,0,0,0,15090956,30634,773716,1546.5
corner-mnmx(d=5),500,12481.7,49696.4,500,500,500,500,500,500,495,477,370,104,1,0,0,0,16723696,32514,841224,1672.5
