Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
corner-expmx(d=-1),500,291287,1.16008e+06,500,500,500,500,500,500,500,500,499,497,459,173,0,0,100820292,177290,4041358,7451.5
corner-expmx(d=0),500,10339.5,40977.8,500,500,500,500,500,500,500,500,493,457,326,36,0,0,65326228,132930,2745212,5578.5
corner-expmx(d=1),200000,24.596,98.384,200000,200000,200000,199998,199668,195009,154589,40650,683,0,0,0,0,0,1653402560,7796,110955518,542
corner-expmx(d=2),10000,120.658,482.473,10000,10000,10000,10000,10000,9992,9870,9239,6183,997,2,0,0,0,276482228,27320,14449926,1428
corner-expmx(d=3),2000,1931.38,7715.26,2000,2000,2000,2000,2000,2000,2000,1996,1911,1328,179,0,0,0,124686040,61084,5787594,2856
corner-expmx(d=4),500,11919,47568.2,500,500,500,500,500,500,500,499,491,428,153,1,0,0,43889852,80198,1947931,3716.5
