Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
wall_gap-mnmx(d=-1),500,13347.5,53197.2,500,500,500,500,500,500,500,484,360,60,0,0,0,0,15810132,32532,810546,1668
wall_gap-mnmx(d=0),500,1303.57,5191.64,500,500,500,500,500,500,497,483,364,64,0,0,0,0,15847016,32360,810414,1658.5
wall_gap-mnmx(d=1),200000,36.644,146.573,200000,200000,200000,199977,198778,181259,107428,24124,647,0,0,0,0,0,1170293944,5356,81871680,380
wall_gap-mnmx(d=2),10000,106.22,424.857,10000,10000,10000,10000,9998,9965,9751,8387,3652,80,0,0,0,0,194098340,16276,10701232,964
wall_gap-mnmx(d=3),2000,461.475,1843.28,2000,2000,2000,2000,2000,1998,1980,1847,1193,114,0,0,0,0,52548868,27220,2764972,1415.5
wall_gap-mnmx(d=4),500,1834.33,7303.61,500,500,500,500,500,500,497,461,313,53,0,0,0,0,14398980,27496,745751,1440
wall_gap-mnmx(d=5),500,27084.8,107918,500,500,500,500,500,500,498,475,329,68,0,0,0,0,15264552,30726,782893,1562
