Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
merge-expmx(d=-1),500,9079.86,36066.5,500,500,500,500,500,500,500,485,306,19,0,0,0,0,12992936,27200,685590,1416.5
merge-expmx(d=0),500,363.514,1452.07,500,500,500,500,500,500,495,438,153,1,0,0,0,0,9180156,16068,511160,941
merge-expmx(d=1),200000,13.284,53.136,200000,200000,199997,199734,189910,119027,24563,164,0,0,0,0,0,0,603989256,2840,51091111,246
merge-expmx(d=2),10000,63.249,252.929,10000,10000,10000,10000,9998,9909,8289,2607,9,0,0,0,0,0,76878240,7088,5034042,484
merge-expmx(d=3),2000,998.475,3991.48,2000,2000,2000,2000,2000,1998,1949,1403,153,0,0,0,0,0,26032208,12878,1544824,774.5
merge-expmx(d=4),500,6873.66,27432.7,500,500,500,500,500,500,497,461,176,1,0,0,0,0,9852576,16218,544600,961.5
