Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
full_wall-mnmx(d=-1),500,13728.2,54780.3,500,500,500,500,500,500,499,482,372,62,0,0,0,0,16200764,34188,828027,1749
full_wall-mnmx(d=0),500,1233.1,4913.94,500,500,500,500,500,500,497,484,375,57,0,0,0,0,15948876,32510,816279,1677.5
full_wall-mnmx(d=1),200000,34.141,136.562,200000,200000,200000,199975,198945,185180,122745,34919,2072,0,0,0,0,0,1338496696,5978,90797566,421
full_wall-mnmx(d=2),10000,88.909,355.577,10000,10000,10000,10000,9999,9974,9704,8004,2971,44,0,0,0,0,180306788,16176,10103948,954
full_wall-mnmx(d=3),2000,431.109,1723.21,2000,2000,2000,2000,2000,2000,1980,1840,1260,123,0,0,0,0,54440868,27528,2856491,1446
full_wall-mnmx(d=4),500,1778.8,7111,500,500,500,500,500,500,495,465,312,50,0,0,0,0,14372472,28688,746585,1499.5
full_wall-mnmx(d=5),500,26666.1,106284,500,500,500,500,500,500,499,482,367,53,0,0,0,0,15596948,32268,801025,1657
