Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
full_wall-expmx(d=-1),500,156728,625729,500,500,500,500,500,500,500,499,496,454,212,9,0,0,52037484,80728,2260912,3755.5
full_wall-expmx(d=0),500,7222.51,28811,500,500,500,500,500,500,500,500,495,390,115,0,0,0,40234468,77244,1808207,3554
full_wall-expmx(d=1),200000,47.312,189.245,200000,200000,200000,199979,199083,186211,124678,35923,2177,1,0,0,0,0,1360041600,6076,92028987,427
full_wall-expmx(d=2),10000,392.545,1570.02,10000,10000,10000,10000,10000,9990,9946,9583,7347,1458,3,0,0,0,319150800,32550,16330138,1675
full_wall-expmx(d=3),2000,5882.79,23508.2,2000,2000,2000,2000,2000,2000,2000,1998,1948,1276,196,0,0,0,125421312,60826,5825248,2844.5
full_wall-expmx(d=4),500,32337.7,128677,500,500,500,500,500,500,500,499,496,403,110,0,0,0,40295348,76904,1812384,3541
