Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
score-mnmx(d=-1),500,4421.29,17574.6,500,500,500,500,500,500,498,453,153,0,0,0,0,0,9372732,16232,524575,962
score-mnmx(d=0),500,285.569,1136.34,500,500,500,500,500,500,498,428,116,0,0,0,0,0,8507072,16082,483854,943
score-mnmx(d=1),200000,15.716,62.864,200000,200000,200000,199984,199410,187923,124572,30690,607,0,0,0,0,0,1359827688,6320,93656000,446
score-mnmx(d=2),10000,31.56,126.207,10000,10000,10000,10000,10000,9967,9139,4312,107,0,0,0,0,0,96000588,7536,6054902,525
score-mnmx(d=3),2000,217.869,870.821,2000,2000,2000,2000,2000,1999,1961,1416,133,0,0,0,0,0,26136708,13234,1560425,797.5
score-mnmx(d=4),500,1575.43,6284.6,500,500,500,500,500,500,495,411,92,0,0,0,0,0,7930188,15730,456567,923
score-mnmx(d=5),500,40594.3,161854,500,500,500,500,500,500,497,433,123,0,0,0,0,0,8711864,16138,494413,950
