Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
merge-mnmx(d=-1),500,3830.05,15223.5,500,500,500,500,500,500,470,202,3,0,0,0,0,0,4683396,7214,293458,497
merge-mnmx(d=0),500,224.983,895.544,500,500,500,500,500,500,454,209,4,0,0,0,0,0,4656160,7254,292029,501.5
merge-mnmx(d=1),200000,11.668,46.67,200000,200000,199999,199723,189985,119417,24702,167,0,0,0,0,0,0,604824192,2840,51135566,246
merge-mnmx(d=2),10000,32.978,131.902,10000,10000,10000,10000,9997,9726,7048,1196,0,0,0,0,0,0,61307252,6312,4196447,427
merge-mnmx(d=3),2000,262.174,1047.09,2000,2000,2000,2000,2000,1994,1763,658,2,0,0,0,0,0,16844760,7148,1081669,491
merge-mnmx(d=4),500,2006.62,8013.73,500,500,500,500,500,500,467,213,8,0,0,0,0,0,4752884,7300,297397,502
merge-mnmx(d=5),500,55366.9,220556,500,500,500,500,500,500,475,240,3,0,0,0,0,0,4981676,7622,308982,520.5
