Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
score-expmx(d=-1),500,12084.3,48130.4,500,500,500,500,500,500,500,500,453,143,0,0,0,0,20324668,36266,1007569,1881.5
score-expmx(d=0),500,548.24,2179.44,500,500,500,500,500,500,500,498,379,35,0,0,0,0,15255352,32342,790410,1659.5
score-expmx(d=1),200000,18.418,73.672,200000,200000,200000,199980,199355,187828,125331,30923,626,0,0,0,0,0,1365660872,6364,93993513,449
score-expmx(d=2),10000,77.178,308.641,10000,10000,10000,10000,10000,9993,9567,5695,340,0,0,0,0,0,112827276,12116,6908191,717
score-expmx(d=3),2000,1273.32,5091.36,2000,2000,2000,2000,2000,2000,1996,1846,735,2,0,0,0,0,39806068,16268,2202661,965
score-expmx(d=4),500,8778.06,35053.9,500,500,500,500,500,500,500,496,376,16,0,0,0,0,14607224,32278,764306,1649
