Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
wall_gap-expmx(d=-1),500,128780,512168,500,500,500,500,500,500,500,500,493,434,183,4,0,0,47324436,80110,2075207,3705.5
wall_gap-expmx(d=0),500,6851.74,27240.3,500,500,500,500,500,500,500,500,495,376,88,0,0,0,36739272,71942,1666062,3317.5
wall_gap-expmx(d=1),200000,49.4,197.597,200000,200000,200000,199975,198783,180376,104764,22750,576,0,0,0,0,0,1158785464,5296,81460016,377
wall_gap-expmx(d=2),10000,448.013,1791.85,10000,10000,10000,10000,10000,9990,9941,9614,7477,1517,2,0,0,0,319420696,32368,16258582,1661
wall_gap-expmx(d=3),2000,5503.58,21993.7,2000,2000,2000,2000,2000,2000,2000,1996,1881,1029,62,0,0,0,103251432,51680,4907981,2374
wall_gap-expmx(d=4),500,29025,115852,500,500,500,500,500,500,500,500,491,347,42,0,0,0,32392904,70288,1499233,3206.5
