Strategy,Games,Time,Parallel,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072
corner,500000,10.746,false,500000,499999,499838,494038,426683,214928,24545,51,0,0,0,0,0,0,0
